Date,KPI Name,Value,Target,Unit,Department,Category,Remarks
20-01-2024,Audit Failures,0.37,0.35,count,Quality Control,Quality,Below target
25-05-2024,Waste Generation,3088.23,2926.22,kg,Manufacturing,Waste,Below target
27-08-2024,Audit Failures,1.78,1.61,count,Quality Control,Quality,New initiative
27-11-2024,On-Time Delivery Rate,85.32,93.09,%,Logistics,Operational,Requires improvement
17-10-2024,On-Time Delivery Rate,78.06,85.14,%,Logistics,Operational,Below target
06-08-2024,Employee Turnover Rate,1.54,1.42,%,Operations,Social Impact,Requires improvement
01-09-2024,Fuel Efficiency,6.33,7,km/l,Logistics,Energy,Above target
16-05-2024,On-Time Delivery Rate,78.19,85.07,%,Logistics,Operational,Requires improvement
30-11-2024,Packaging Waste,312.11,289.84,kg,Logistics,Waste,Below target
22-03-2024,On-Time Delivery Rate,77.56,85.62,%,Logistics,Operational,Below target
07-07-2024,Customer Complaints,6.9,6.43,count,Quality Control,Social Impact,Below target
06-11-2024,Employee Turnover Rate,2.08,1.94,%,Operations,Social Impact,Requires improvement
06-12-2024,Transport Emissions,14.34,13.56,tons,Logistics,Emissions,New initiative
26-09-2024,Employee Turnover Rate,1.64,1.52,%,Operations,Social Impact,On track
07-10-2024,Customer Complaints,0.78,0.72,count,Quality Control,Social Impact,On track
29-02-2024,Employee Turnover Rate,0.82,0.75,%,Operations,Social Impact,Requires improvement
20-08-2024,Equipment Maintenance Cost,1363.95,1262.36,USD,Operations,Operational,On track
10-12-2024,Equipment Maintenance Cost,4839.59,4369.6,USD,Operations,Operational,Requires improvement
23-10-2024,Fuel Efficiency,6.57,6.98,km/l,Logistics,Energy,Above target
31-01-2024,Energy Consumption,24066.38,22502.53,kWh,Manufacturing,Energy,New initiative
24-11-2024,Water Usage,2555.01,2351.74,liters,Manufacturing,Water,Above target
11-07-2024,Customer Complaints,9.93,9.13,count,Quality Control,Social Impact,Requires improvement
01-04-2024,Production Downtime,6.99,6.59,hours,Manufacturing,Operational,On track
12-01-2024,Inspection Hours,23.2,21.14,hours,Quality Control,Quality,On track
13-07-2024,Transport Emissions,13.8,12.8,tons,Logistics,Emissions,New initiative
27-02-2024,Employee Turnover Rate,1.26,1.19,%,Operations,Social Impact,Above target
03-05-2024,Water Usage,31131.24,29475.43,liters,Manufacturing,Water,On track
10-12-2024,Workplace Safety Incidents,0.3,0.27,count,Operations,Social Impact,New initiative
03-10-2024,Carbon Emissions,82.02,76.65,tons,Manufacturing,Emissions,Above target
21-10-2024,Workplace Safety Incidents,0.42,0.4,count,Operations,Social Impact,Above target
23-04-2024,Packaging Waste,156.61,147.81,kg,Logistics,Waste,New initiative
30-03-2024,Customer Complaints,2.75,2.55,count,Quality Control,Social Impact,New initiative
25-09-2024,Audit Failures,0.09,0.08,count,Quality Control,Quality,Requires improvement
02-10-2024,Transport Emissions,8.76,8.02,tons,Logistics,Emissions,Above target
25-08-2024,Inspection Hours,26.23,24,hours,Quality Control,Quality,Above target
09-03-2024,Production Downtime,11.19,10.3,hours,Manufacturing,Operational,New initiative
18-08-2024,Inspection Hours,11.37,10.42,hours,Quality Control,Quality,On track
17-05-2024,Fuel Efficiency,7.23,7.68,km/l,Logistics,Energy,On track
09-12-2024,Product Defect Rate,4.43,4.03,%,Quality Control,Quality,New initiative
08-01-2024,Equipment Maintenance Cost,2484.45,2348.68,USD,Operations,Operational,Below target
04-05-2024,Employee Turnover Rate,2.05,1.94,%,Operations,Social Impact,Requires improvement
13-07-2024,Equipment Maintenance Cost,9193.7,8528.11,USD,Operations,Operational,Below target
26-08-2024,Customer Complaints,3.08,2.83,count,Quality Control,Social Impact,Requires improvement
08-07-2024,Water Usage,38319.82,35101.4,liters,Manufacturing,Water,Above target
09-01-2024,Transport Emissions,1.87,1.76,tons,Logistics,Emissions,Above target
13-07-2024,Transport Emissions,6.61,6.01,tons,Logistics,Emissions,Above target
11-05-2024,Equipment Maintenance Cost,5731.1,5428.34,USD,Operations,Operational,Below target
27-03-2024,Audit Failures,0.92,0.86,count,Quality Control,Quality,Below target
25-09-2024,Equipment Maintenance Cost,2248.45,2123.59,USD,Operations,Operational,On track
30-07-2024,Energy Consumption,47533.47,44368.25,kWh,Manufacturing,Energy,On track
15-09-2024,Employee Turnover Rate,0.63,0.6,%,Operations,Social Impact,Above target
04-09-2024,Customer Complaints,0.6,0.56,count,Quality Control,Social Impact,New initiative
09-01-2024,Product Defect Rate,0.53,0.49,%,Quality Control,Quality,On track
01-04-2024,Packaging Waste,57.71,54.29,kg,Logistics,Waste,Requires improvement
26-09-2024,Energy Consumption,28597.34,26082.16,kWh,Manufacturing,Energy,New initiative
26-07-2024,Packaging Waste,170.3,156.65,kg,Logistics,Waste,Below target
30-11-2024,Inspection Hours,29.76,27.12,hours,Quality Control,Quality,On track
29-01-2024,Energy Consumption,23237.52,21351.99,kWh,Manufacturing,Energy,Requires improvement
16-10-2024,Carbon Emissions,19.05,17.44,tons,Manufacturing,Emissions,Below target
31-08-2024,Production Downtime,18.79,17.13,hours,Manufacturing,Operational,New initiative
05-10-2024,Fuel Efficiency,8.99,9.62,km/l,Logistics,Energy,Below target
27-10-2024,Carbon Emissions,99.74,93.59,tons,Manufacturing,Emissions,Above target
03-05-2024,Equipment Maintenance Cost,9324.31,8531.41,USD,Operations,Operational,New initiative
13-09-2024,Customer Complaints,3.84,3.6,count,Quality Control,Social Impact,On track
23-06-2024,Fuel Efficiency,5,5.49,km/l,Logistics,Energy,On track
08-09-2024,Customer Complaints,0.3,0.27,count,Quality Control,Social Impact,Requires improvement
14-12-2024,Training Hours,27.46,29.89,hours,Operations,Social Impact,Above target
07-02-2024,Product Defect Rate,3.97,3.63,%,Quality Control,Quality,Above target
18-07-2024,Waste Generation,1020.73,940.26,kg,Manufacturing,Waste,Above target
15-08-2024,Packaging Waste,97.95,88.18,kg,Logistics,Waste,Below target
17-08-2024,Packaging Waste,96,86.82,kg,Logistics,Waste,Requires improvement
01-11-2024,Product Defect Rate,0.62,0.57,%,Quality Control,Quality,On track
13-10-2024,Transport Emissions,1.23,1.13,tons,Logistics,Emissions,On track
03-06-2024,Employee Turnover Rate,1.62,1.53,%,Operations,Social Impact,Below target
03-08-2024,Transport Emissions,3.77,3.42,tons,Logistics,Emissions,Below target
16-11-2024,Transport Emissions,15.87,14.57,tons,Logistics,Emissions,Above target
21-07-2024,Inspection Hours,16.45,14.92,hours,Quality Control,Quality,On track
08-08-2024,Transport Emissions,16.28,14.92,tons,Logistics,Emissions,Below target
02-09-2024,Training Hours,18.41,19.43,hours,Operations,Social Impact,Above target
21-12-2024,On-Time Delivery Rate,89.77,94.65,%,Logistics,Operational,Below target
05-07-2024,Inspection Hours,13.15,12.02,hours,Quality Control,Quality,Requires improvement
15-12-2024,Production Downtime,8,7.6,hours,Manufacturing,Operational,Above target
20-12-2024,Water Usage,47205.77,42980.02,liters,Manufacturing,Water,Below target
03-05-2024,Water Usage,33975.9,30814.75,liters,Manufacturing,Water,Below target
17-08-2024,On-Time Delivery Rate,86.57,92.15,%,Logistics,Operational,On track
05-10-2024,Audit Failures,1.07,1.01,count,Quality Control,Quality,Requires improvement
22-11-2024,Waste Generation,3891.14,3567.84,kg,Manufacturing,Waste,New initiative
26-03-2024,Energy Consumption,39602.93,36944.78,kWh,Manufacturing,Energy,Below target
18-06-2024,Production Downtime,19.75,18.44,hours,Manufacturing,Operational,Requires improvement
22-09-2024,Product Defect Rate,0.55,0.5,%,Quality Control,Quality,New initiative
19-12-2024,Equipment Maintenance Cost,4054.14,3742.59,USD,Operations,Operational,New initiative
31-07-2024,Training Hours,46.11,49.9,hours,Operations,Social Impact,Below target
08-06-2024,Energy Consumption,42409.3,39716.63,kWh,Manufacturing,Energy,Below target
31-08-2024,Transport Emissions,15.9,14.72,tons,Logistics,Emissions,Below target
02-06-2024,Water Usage,36377.7,33562.88,liters,Manufacturing,Water,On track
12-12-2024,Energy Consumption,6016.33,5517.9,kWh,Manufacturing,Energy,On track
13-10-2024,Employee Turnover Rate,1.37,1.27,%,Operations,Social Impact,Below target
05-04-2024,Audit Failures,0.46,0.42,count,Quality Control,Quality,Above target
18-08-2024,Audit Failures,0.06,0.06,count,Quality Control,Quality,Above target
26-12-2024,Audit Failures,0.01,0.01,count,Quality Control,Quality,Below target
06-07-2024,Production Downtime,6.53,6.16,hours,Manufacturing,Operational,Above target
27-09-2024,On-Time Delivery Rate,81.8,89.58,%,Logistics,Operational,Requires improvement
29-06-2024,Transport Emissions,12.61,11.72,tons,Logistics,Emissions,Below target
10-11-2024,Inspection Hours,25.34,23.7,hours,Quality Control,Quality,Below target
03-04-2024,Carbon Emissions,40.56,38.19,tons,Manufacturing,Emissions,On track
21-10-2024,On-Time Delivery Rate,82.98,90.11,%,Logistics,Operational,Above target
11-10-2024,Audit Failures,0.37,0.34,count,Quality Control,Quality,Above target
13-11-2024,Equipment Maintenance Cost,3243.93,2949.88,USD,Operations,Operational,Requires improvement
15-07-2024,Waste Generation,5122.83,4768.84,kg,Manufacturing,Waste,Above target
07-09-2024,Audit Failures,1.37,1.26,count,Quality Control,Quality,Requires improvement
29-05-2024,Workplace Safety Incidents,1.7,1.6,count,Operations,Social Impact,Above target
16-10-2024,Waste Generation,1361.68,1279.25,kg,Manufacturing,Waste,Requires improvement
06-07-2024,Product Defect Rate,3.08,2.81,%,Quality Control,Quality,New initiative
30-11-2024,Water Usage,27771.31,26368.55,liters,Manufacturing,Water,On track
27-06-2024,Training Hours,40,44.37,hours,Operations,Social Impact,Below target
17-04-2024,Water Usage,43399.23,39314.03,liters,Manufacturing,Water,Above target
15-04-2024,Transport Emissions,4.15,3.76,tons,Logistics,Emissions,Above target
27-03-2024,Production Downtime,10.26,9.38,hours,Manufacturing,Operational,New initiative
13-12-2024,Packaging Waste,180.2,164.59,kg,Logistics,Waste,New initiative
21-05-2024,Carbon Emissions,105.28,96.65,tons,Manufacturing,Emissions,On track
12-12-2024,Employee Turnover Rate,0.94,0.87,%,Operations,Social Impact,Above target
11-07-2024,Audit Failures,0.28,0.26,count,Quality Control,Quality,Requires improvement
25-07-2024,Product Defect Rate,3.35,3.16,%,Quality Control,Quality,On track
02-01-2024,Packaging Waste,254.61,235.36,kg,Logistics,Waste,New initiative
30-09-2024,Water Usage,32107.19,30015.87,liters,Manufacturing,Water,On track
17-05-2024,Inspection Hours,29.2,27.48,hours,Quality Control,Quality,Requires improvement
05-09-2024,Packaging Waste,201.99,187.63,kg,Logistics,Waste,New initiative
09-01-2024,Fuel Efficiency,4.87,5.23,km/l,Logistics,Energy,Requires improvement
13-04-2024,Carbon Emissions,52.21,49.72,tons,Manufacturing,Emissions,Requires improvement
17-02-2024,Training Hours,11.5,12.15,hours,Operations,Social Impact,Below target
27-01-2024,Packaging Waste,87.09,81.27,kg,Logistics,Waste,Above target
01-12-2024,Customer Complaints,7.26,6.81,count,Quality Control,Social Impact,Requires improvement
30-10-2024,Energy Consumption,5048.88,4664.36,kWh,Manufacturing,Energy,Above target
04-08-2024,Equipment Maintenance Cost,588.23,549.87,USD,Operations,Operational,On track
22-02-2024,Equipment Maintenance Cost,1172.87,1078.05,USD,Operations,Operational,On track
24-11-2024,Packaging Waste,446.45,404.87,kg,Logistics,Waste,Above target
13-08-2024,Workplace Safety Incidents,1.59,1.43,count,Operations,Social Impact,Above target
11-11-2024,On-Time Delivery Rate,82.84,91.28,%,Logistics,Operational,Requires improvement
28-10-2024,Inspection Hours,7.17,6.49,hours,Quality Control,Quality,On track
06-05-2024,Customer Complaints,9.63,8.82,count,Quality Control,Social Impact,Above target
25-05-2024,Fuel Efficiency,5.8,6.24,km/l,Logistics,Energy,New initiative
19-07-2024,Waste Generation,1281.44,1186.14,kg,Manufacturing,Waste,Above target
10-09-2024,Fuel Efficiency,8.38,8.92,km/l,Logistics,Energy,Above target
27-09-2024,Product Defect Rate,1.58,1.47,%,Quality Control,Quality,On track
03-08-2024,Waste Generation,4947.88,4682.84,kg,Manufacturing,Waste,New initiative
09-01-2024,On-Time Delivery Rate,87.79,92.63,%,Logistics,Operational,On track
22-07-2024,Energy Consumption,16798.34,15151.96,kWh,Manufacturing,Energy,On track
02-10-2024,Transport Emissions,9.05,8.33,tons,Logistics,Emissions,New initiative
20-03-2024,Training Hours,7.92,8.76,hours,Operations,Social Impact,Above target
07-06-2024,Transport Emissions,12.14,11.39,tons,Logistics,Emissions,On track
29-02-2024,Inspection Hours,6.45,5.83,hours,Quality Control,Quality,Requires improvement
02-03-2024,Product Defect Rate,1.89,1.77,%,Quality Control,Quality,Above target
24-09-2024,Carbon Emissions,77.39,73.13,tons,Manufacturing,Emissions,Below target
01-03-2024,On-Time Delivery Rate,83.17,88.72,%,Logistics,Operational,Below target
14-05-2024,Waste Generation,4333.23,4074.12,kg,Manufacturing,Waste,On track
17-10-2024,Water Usage,23304.69,21393.85,liters,Manufacturing,Water,Requires improvement
11-12-2024,Training Hours,11.34,12.08,hours,Operations,Social Impact,New initiative
05-05-2024,Carbon Emissions,80.51,76.67,tons,Manufacturing,Emissions,On track
19-01-2024,Water Usage,18834.85,17817.98,liters,Manufacturing,Water,Above target
18-05-2024,Inspection Hours,13.05,12.02,hours,Quality Control,Quality,Below target
01-04-2024,Production Downtime,10.59,9.8,hours,Manufacturing,Operational,On track
24-05-2024,Workplace Safety Incidents,2.86,2.58,count,Operations,Social Impact,Requires improvement
12-04-2024,Packaging Waste,88.87,82.01,kg,Logistics,Waste,Below target
29-10-2024,Packaging Waste,382.81,349.17,kg,Logistics,Waste,Below target
18-03-2024,Inspection Hours,23.31,21.62,hours,Quality Control,Quality,Above target
20-06-2024,Water Usage,2171.6,2013.24,liters,Manufacturing,Water,On track
15-04-2024,Water Usage,42601.29,39890.18,liters,Manufacturing,Water,On track
30-12-2024,Equipment Maintenance Cost,5174.27,4672.34,USD,Operations,Operational,Above target
30-07-2024,Fuel Efficiency,4.76,5.22,km/l,Logistics,Energy,New initiative
15-09-2024,Transport Emissions,19.52,17.65,tons,Logistics,Emissions,On track
05-12-2024,Equipment Maintenance Cost,1210.89,1124.18,USD,Operations,Operational,Requires improvement
24-12-2024,Employee Turnover Rate,1.03,0.94,%,Operations,Social Impact,Requires improvement
10-03-2024,Packaging Waste,253.74,231.33,kg,Logistics,Waste,Above target
27-07-2024,Carbon Emissions,20.92,19.51,tons,Manufacturing,Emissions,Below target
06-06-2024,Production Downtime,10.37,9.73,hours,Manufacturing,Operational,Requires improvement
26-12-2024,Customer Complaints,8.52,7.71,count,Quality Control,Social Impact,Below target
30-12-2024,Carbon Emissions,90.89,85.23,tons,Manufacturing,Emissions,On track
13-05-2024,Training Hours,20.6,22.83,hours,Operations,Social Impact,Below target
08-10-2024,Workplace Safety Incidents,2.86,2.7,count,Operations,Social Impact,New initiative
03-03-2024,Workplace Safety Incidents,1.39,1.31,count,Operations,Social Impact,Above target
11-04-2024,Energy Consumption,42366.75,40211.48,kWh,Manufacturing,Energy,Above target
25-10-2024,Customer Complaints,6.86,6.5,count,Quality Control,Social Impact,On track
06-03-2024,Fuel Efficiency,4.62,5.11,km/l,Logistics,Energy,Requires improvement
27-03-2024,Waste Generation,864.67,788.13,kg,Manufacturing,Waste,On track
29-03-2024,Audit Failures,0.99,0.91,count,Quality Control,Quality,Requires improvement
17-03-2024,On-Time Delivery Rate,85.97,94.08,%,Logistics,Operational,Requires improvement
12-09-2024,Production Downtime,14.29,13.04,hours,Manufacturing,Operational,Below target
02-08-2024,Audit Failures,0.12,0.11,count,Quality Control,Quality,Above target
14-07-2024,Employee Turnover Rate,1.58,1.45,%,Operations,Social Impact,On track
14-09-2024,Transport Emissions,11.35,10.49,tons,Logistics,Emissions,New initiative
22-04-2024,Transport Emissions,6.14,5.53,tons,Logistics,Emissions,New initiative
02-07-2024,Waste Generation,529.16,481.24,kg,Manufacturing,Waste,New initiative
30-09-2024,Employee Turnover Rate,0.7,0.65,%,Operations,Social Impact,Below target
30-06-2024,Carbon Emissions,67.94,61.81,tons,Manufacturing,Emissions,Requires improvement
29-10-2024,Employee Turnover Rate,0.91,0.85,%,Operations,Social Impact,Below target
06-04-2024,Waste Generation,5119.5,4748.28,kg,Manufacturing,Waste,New initiative
29-04-2024,Customer Complaints,1.76,1.59,count,Quality Control,Social Impact,On track
13-04-2024,Workplace Safety Incidents,1.58,1.42,count,Operations,Social Impact,New initiative
31-01-2024,Training Hours,35.25,37.26,hours,Operations,Social Impact,Below target
26-09-2024,Carbon Emissions,68.81,62.79,tons,Manufacturing,Emissions,On track
27-10-2024,Fuel Efficiency,6.51,6.87,km/l,Logistics,Energy,Requires improvement
11-08-2024,Waste Generation,1742.14,1648.47,kg,Manufacturing,Waste,Above target
01-07-2024,Customer Complaints,1.74,1.65,count,Quality Control,Social Impact,New initiative
06-03-2024,Employee Turnover Rate,1.16,1.07,%,Operations,Social Impact,Below target
17-10-2024,Workplace Safety Incidents,2.85,2.7,count,Operations,Social Impact,Requires improvement
23-04-2024,Carbon Emissions,70.38,64.21,tons,Manufacturing,Emissions,New initiative
26-06-2024,Water Usage,7891.53,7396.47,liters,Manufacturing,Water,Above target
16-08-2024,On-Time Delivery Rate,86.62,91.36,%,Logistics,Operational,Below target
11-05-2024,Waste Generation,1308.62,1206.48,kg,Manufacturing,Waste,Below target
26-03-2024,Energy Consumption,7166.64,6607,kWh,Manufacturing,Energy,Requires improvement
21-02-2024,Audit Failures,1.76,1.61,count,Quality Control,Quality,Requires improvement
30-05-2024,Inspection Hours,9.07,8.2,hours,Quality Control,Quality,On track
28-03-2024,Waste Generation,1533.69,1453.41,kg,Manufacturing,Waste,Below target
22-06-2024,Inspection Hours,23.3,21.61,hours,Quality Control,Quality,On track
10-08-2024,Product Defect Rate,2.44,2.28,%,Quality Control,Quality,New initiative
28-07-2024,Workplace Safety Incidents,0.3,0.27,count,Operations,Social Impact,Above target
19-10-2024,Packaging Waste,183.83,166.33,kg,Logistics,Waste,Requires improvement
30-05-2024,Inspection Hours,6.36,5.73,hours,Quality Control,Quality,On track
11-02-2024,Inspection Hours,7.42,6.75,hours,Quality Control,Quality,Below target
04-12-2024,Product Defect Rate,1.89,1.74,%,Quality Control,Quality,Requires improvement
14-07-2024,Fuel Efficiency,7.55,8.21,km/l,Logistics,Energy,Below target
14-05-2024,On-Time Delivery Rate,81.69,89.46,%,Logistics,Operational,Requires improvement
13-02-2024,Training Hours,27.58,30.39,hours,Operations,Social Impact,On track
01-02-2024,Transport Emissions,19.44,18.07,tons,Logistics,Emissions,New initiative
20-10-2024,Audit Failures,1.93,1.8,count,Quality Control,Quality,Requires improvement
14-09-2024,Equipment Maintenance Cost,3339.1,3071.1,USD,Operations,Operational,On track
18-04-2024,Workplace Safety Incidents,2.85,2.63,count,Operations,Social Impact,Above target
13-04-2024,Employee Turnover Rate,0.59,0.56,%,Operations,Social Impact,Requires improvement
14-02-2024,Training Hours,18.16,19.39,hours,Operations,Social Impact,On track
22-08-2024,Audit Failures,1.1,1.04,count,Quality Control,Quality,New initiative
31-07-2024,Production Downtime,13.81,12.97,hours,Manufacturing,Operational,On track
24-02-2024,Employee Turnover Rate,1.46,1.35,%,Operations,Social Impact,On track
15-05-2024,Waste Generation,4774.11,4363.88,kg,Manufacturing,Waste,Requires improvement
21-05-2024,Audit Failures,1.14,1.05,count,Quality Control,Quality,Above target
20-01-2024,Inspection Hours,20.46,19.11,hours,Quality Control,Quality,Requires improvement
17-05-2024,Customer Complaints,6.91,6.24,count,Quality Control,Social Impact,Requires improvement
23-05-2024,Fuel Efficiency,6.29,6.69,km/l,Logistics,Energy,Below target
14-08-2024,Product Defect Rate,4.88,4.45,%,Quality Control,Quality,Below target
06-04-2024,Packaging Waste,377.96,351.6,kg,Logistics,Waste,On track
21-09-2024,Inspection Hours,27.84,25.62,hours,Quality Control,Quality,Requires improvement
29-12-2024,Fuel Efficiency,6.88,7.58,km/l,Logistics,Energy,Below target
15-01-2024,Inspection Hours,24.51,22.7,hours,Quality Control,Quality,New initiative
07-05-2024,Employee Turnover Rate,1.92,1.81,%,Operations,Social Impact,On track
20-05-2024,Water Usage,3477.4,3192.32,liters,Manufacturing,Water,Above target
14-12-2024,Transport Emissions,10.6,9.88,tons,Logistics,Emissions,On track
30-08-2024,Carbon Emissions,46.99,43.52,tons,Manufacturing,Emissions,Above target
25-05-2024,Packaging Waste,123.58,116.75,kg,Logistics,Waste,On track
23-04-2024,Water Usage,3432.9,3236.16,liters,Manufacturing,Water,Above target
15-12-2024,Employee Turnover Rate,0.96,0.9,%,Operations,Social Impact,On track
05-01-2024,Water Usage,45664.26,42575.92,liters,Manufacturing,Water,New initiative
04-08-2024,Training Hours,30.67,32.38,hours,Operations,Social Impact,Below target
12-12-2024,Customer Complaints,4.59,4.18,count,Quality Control,Social Impact,Below target
14-10-2024,Product Defect Rate,0.53,0.5,%,Quality Control,Quality,Below target
21-05-2024,Packaging Waste,357.99,330.81,kg,Logistics,Waste,Below target
06-04-2024,Packaging Waste,167.52,156.72,kg,Logistics,Waste,Below target
25-07-2024,Employee Turnover Rate,2.02,1.85,%,Operations,Social Impact,New initiative
12-05-2024,On-Time Delivery Rate,86.01,92.21,%,Logistics,Operational,Below target
07-04-2024,Audit Failures,0.78,0.7,count,Quality Control,Quality,New initiative
09-12-2024,On-Time Delivery Rate,85.61,91.86,%,Logistics,Operational,Requires improvement
02-04-2024,Packaging Waste,430.44,405.49,kg,Logistics,Waste,New initiative
03-04-2024,Fuel Efficiency,6.89,7.35,km/l,Logistics,Energy,New initiative
03-08-2024,Fuel Efficiency,5.57,6.11,km/l,Logistics,Energy,Below target
28-08-2024,Packaging Waste,167.25,152.98,kg,Logistics,Waste,On track
09-04-2024,Production Downtime,13.7,12.76,hours,Manufacturing,Operational,Requires improvement
11-03-2024,Water Usage,26962.09,24822.79,liters,Manufacturing,Water,Above target
14-03-2024,Training Hours,21.74,23.41,hours,Operations,Social Impact,Requires improvement
09-06-2024,On-Time Delivery Rate,85.77,92.79,%,Logistics,Operational,Above target
22-10-2024,Energy Consumption,25342.4,23073.47,kWh,Manufacturing,Energy,Above target
10-11-2024,Equipment Maintenance Cost,7959.5,7473.87,USD,Operations,Operational,Above target
03-01-2024,Audit Failures,0.81,0.77,count,Quality Control,Quality,Requires improvement
13-06-2024,Production Downtime,7.99,7.34,hours,Manufacturing,Operational,On track
25-04-2024,Workplace Safety Incidents,2.03,1.89,count,Operations,Social Impact,Above target
05-06-2024,Packaging Waste,108.02,99.29,kg,Logistics,Waste,New initiative
21-08-2024,Workplace Safety Incidents,2.47,2.26,count,Operations,Social Impact,Below target
07-09-2024,Transport Emissions,17.87,16.97,tons,Logistics,Emissions,Below target
10-01-2024,On-Time Delivery Rate,81.91,86.65,%,Logistics,Operational,Requires improvement
28-10-2024,Employee Turnover Rate,1.68,1.59,%,Operations,Social Impact,On track
11-07-2024,Workplace Safety Incidents,1.1,1.03,count,Operations,Social Impact,On track
30-11-2024,Fuel Efficiency,7.19,7.97,km/l,Logistics,Energy,On track
04-03-2024,Energy Consumption,36038.74,33185.87,kWh,Manufacturing,Energy,Requires improvement
03-06-2024,Transport Emissions,14.34,13.05,tons,Logistics,Emissions,On track
24-12-2024,Product Defect Rate,3.48,3.18,%,Quality Control,Quality,New initiative
01-03-2024,Equipment Maintenance Cost,8391.2,7596.1,USD,Operations,Operational,New initiative
12-04-2024,Fuel Efficiency,8.25,8.92,km/l,Logistics,Energy,New initiative
21-01-2024,On-Time Delivery Rate,81.54,88.58,%,Logistics,Operational,Above target
02-01-2024,Inspection Hours,22.21,20.52,hours,Quality Control,Quality,Above target
17-03-2024,Energy Consumption,45809.6,43141.72,kWh,Manufacturing,Energy,Requires improvement
25-11-2024,Production Downtime,6.13,5.74,hours,Manufacturing,Operational,Below target
26-01-2024,Equipment Maintenance Cost,9892.33,9049.51,USD,Operations,Operational,Requires improvement
12-12-2024,Carbon Emissions,96.88,88.67,tons,Manufacturing,Emissions,Below target
05-01-2024,Transport Emissions,15.03,13.6,tons,Logistics,Emissions,On track
17-05-2024,Employee Turnover Rate,1.08,0.99,%,Operations,Social Impact,New initiative
23-07-2024,Waste Generation,4355.02,4111.83,kg,Manufacturing,Waste,Requires improvement
03-08-2024,Customer Complaints,8.36,7.81,count,Quality Control,Social Impact,Requires improvement
23-02-2024,Workplace Safety Incidents,0.4,0.37,count,Operations,Social Impact,Above target
08-11-2024,Audit Failures,1.6,1.49,count,Quality Control,Quality,Above target
04-09-2024,Customer Complaints,6.11,5.76,count,Quality Control,Social Impact,Above target
13-05-2024,Product Defect Rate,4.49,4.14,%,Quality Control,Quality,On track
16-10-2024,Fuel Efficiency,7.96,8.52,km/l,Logistics,Energy,New initiative
18-02-2024,Training Hours,26.5,28.36,hours,Operations,Social Impact,New initiative
17-03-2024,Inspection Hours,17.05,15.91,hours,Quality Control,Quality,Requires improvement
10-09-2024,Energy Consumption,33952.94,30824.05,kWh,Manufacturing,Energy,Requires improvement
22-05-2024,Workplace Safety Incidents,2.25,2.06,count,Operations,Social Impact,Below target
30-04-2024,Production Downtime,8.34,7.77,hours,Manufacturing,Operational,Requires improvement
12-09-2024,Water Usage,22765.25,21140.99,liters,Manufacturing,Water,On track
22-02-2024,Customer Complaints,1.19,1.1,count,Quality Control,Social Impact,On track
05-11-2024,Audit Failures,0.07,0.06,count,Quality Control,Quality,On track
05-07-2024,On-Time Delivery Rate,84.48,91.55,%,Logistics,Operational,Below target
03-11-2024,Carbon Emissions,91.72,85.99,tons,Manufacturing,Emissions,New initiative
02-01-2024,Customer Complaints,7.16,6.48,count,Quality Control,Social Impact,Above target
07-10-2024,Packaging Waste,423.45,401.52,kg,Logistics,Waste,Below target
28-07-2024,Fuel Efficiency,4.75,5.23,km/l,Logistics,Energy,Above target
20-04-2024,Waste Generation,3318.06,3132.09,kg,Manufacturing,Waste,Requires improvement
24-01-2024,Inspection Hours,22.92,20.75,hours,Quality Control,Quality,Requires improvement
09-03-2024,Water Usage,23412.01,21760.66,liters,Manufacturing,Water,New initiative
26-10-2024,Product Defect Rate,2.89,2.61,%,Quality Control,Quality,Requires improvement
23-02-2024,Inspection Hours,22.3,20.26,hours,Quality Control,Quality,Above target
20-12-2024,Customer Complaints,5.04,4.63,count,Quality Control,Social Impact,New initiative
19-08-2024,Training Hours,21,22.9,hours,Operations,Social Impact,Below target
02-06-2024,Employee Turnover Rate,1.22,1.12,%,Operations,Social Impact,New initiative
17-12-2024,On-Time Delivery Rate,81.02,87.01,%,Logistics,Operational,Below target
14-09-2024,On-Time Delivery Rate,88.41,94.81,%,Logistics,Operational,Above target
19-10-2024,Fuel Efficiency,8.17,8.8,km/l,Logistics,Energy,New initiative
24-09-2024,Customer Complaints,8.77,8.08,count,Quality Control,Social Impact,On track
12-04-2024,Energy Consumption,22139.16,19983.98,kWh,Manufacturing,Energy,On track
01-02-2024,On-Time Delivery Rate,88.6,94.84,%,Logistics,Operational,Above target
22-02-2024,On-Time Delivery Rate,83.44,92.54,%,Logistics,Operational,Requires improvement
20-12-2024,Equipment Maintenance Cost,2757.16,2589.57,USD,Operations,Operational,Below target
09-10-2024,Water Usage,19990.18,18947.39,liters,Manufacturing,Water,Below target
25-04-2024,Energy Consumption,38465.15,35009.22,kWh,Manufacturing,Energy,Requires improvement
17-08-2024,On-Time Delivery Rate,87.96,92.76,%,Logistics,Operational,Below target
02-03-2024,Workplace Safety Incidents,0.56,0.51,count,Operations,Social Impact,New initiative
23-03-2024,Product Defect Rate,2.43,2.25,%,Quality Control,Quality,Above target
21-01-2024,Fuel Efficiency,6.22,6.65,km/l,Logistics,Energy,Above target
04-12-2024,Training Hours,29.91,31.86,hours,Operations,Social Impact,New initiative
28-12-2024,Transport Emissions,16.01,14.85,tons,Logistics,Emissions,On track
